appid,name,required age,publisher,genre,price,release date,system
2902880,RPG Maker MV - MT Tiny Tales - CodeArk Galaxy Frontiers,l,KOMODO,RPG,7399,"18 Apr, 2024",nintendo
2902900,RPG Maker MV - Winlu Spaceship Tileset,l,KOMODO,RPG,7399,"25 Apr, 2024",nintendo
2902920,RPG Maker MZ - MT Tiny Tales - CodeArk Galaxy Frontiers,l,KOMODO,RPG,7399,"18 Apr, 2024",nintendo
2902940,RPG Maker MV - KR The Motherlode Cave and Mine Tileset,l,KOMODO,RPG,5999,"25 Apr, 2024",pc
2902960,RPG Maker MZ - Winlu Spaceship Tileset,l,KOMODO,RPG,7399,"25 Apr, 2024",nintendo
2902990,MechWarrior Online™ - Black Hawk-Ku Mech Pack,10,Piranha Games Inc.,Action,5999,"23 Apr, 2024",playstation
2903100,Dimenshift,l,Lost Connection,Action,3299,"3 May, 2024",nintendo
2902230,SOS OPS! - GUNS N' OPS,l,ArtDock ,Action,349,"11 Apr, 2024",pc
2902450,The Texas Chain Saw Massacre - Ana Outfit Pack 2,18,Gun Interactive,Action,1699,"16 Apr, 2024",pc
2902460,Cube Lands: The Final Wish,l,SkyHog,Adventure,1049,"9 Apr, 2024",pc
2902470,Maintenance Crew,14,Kyle Obranovic,Action,699,"26 Jun, 2024",playstation
2902540,KUNKUN Defender,l,Seal,Action,629,"2 May, 2024",playstation
2902550,交织的印记,12,可食用蓝墨水,Casual,699,"22 Aug, 2024",pc
2902560,PostLife,16,Awakecore,Indie,1699,"9 Aug, 2024",playstation
2902640,Ghost Hunter,l,EPRA Games,Action,1499,"11 Apr, 2024",pc
2902660,3Souls Parallel Edition,l,Spacefarer R&D Ltd.,Adventure,1379,"5 Apr, 2024",nintendo
2901800,デッキ勇者,18,1.5次創作,RPG,2321,"16 May, 2024",pc
2901810,Supermrket: El Videojuego de Gestión de Supermercado,l,Paso-a-Paso games ,Casual,349,"25 Apr, 2024",playstation
2901820,Bosstack,10,Catalion,Casual,299,"Apr 24, 2024",playstation
2901850,Supermrket: Expansion San Juan,l,Paso-a-Paso games ,Casual,349,"23 Jun, 2024",pc
2901870,AOD,10,yexiong,Adventure,1049,"25 Apr, 2024",nintendo
2901910,Borderless Gaming - Dark Mode,l,Codeusa,Utilities,349,"25 Mar, 2024",playstation
2901970,はつものがたり | Naive Novel,l,"Yanase Games, Inc.",Adventure,1379,"14 Jun, 2024",playstation
2901960,Hentai Girls,18,CggtGroup,Casual,349,"12 Apr, 2024",nintendo
2902020,Detective Secrets Solitaire. The Curse of the Village,l,DigiMight,Casual,2350,"10 Apr, 2024",pc
2902090,Tribute,14,Conni'co,Adventure,2499,"30 Aug, 2024",nintendo
2902190,SKALD: Against the Black Priory - Reinforcement Pack,l,Raw Fury,Indie,1699,"30 May, 2024",playstation
2902200,Mullet Mad Jack ARTBOOK,l,Epopeia games,Action,2636,"15 May, 2024",pc
2901240,Transparent Skin,l,Small Solar Sloth Studios,Action,349,"13 Apr, 2024",nintendo
2901330,Forget Something?,14,Treadway Studios,Indie,349,"12 Apr, 2024",playstation
2901370,诸子伏魔,l,李小鹏的发行商,Indie,1379,"18 Apr, 2024",playstation
2901410,Let's School - Magical Castles Furniture Pack,l,Pathea Games,Casual,1379,"27 Jun, 2024",nintendo
2901520,Альтушка для скуфа,16,Terletski Games,Casual,1699,"21 Apr, 2024",playstation
2901600,Trainz 2022 DLC - Est/SNCF 241A Mountain Locomotives (rebuilt),l,N3V Games,Simulation,1319,"2 Apr, 2024",playstation
